Sample Name,Replicate,Wavelength,Absorbance,Toxgreen Dir,Percent GpA,Day
LC2,1,512,12015,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,59.58146684959584,2024-4-18_toxgreen
RD17,1,512,10379,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,51.46866786782815,2024-4-18_toxgreen
RWT40,1,512,12253,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,60.76169066234689,2024-4-18_toxgreen
RD52,1,512,12703,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,62.9932062746913,2024-4-18_toxgreen
RC1,1,512,7546,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,37.420037357224324,2024-4-18_toxgreen
Gpa,2,512,20078,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,99.56526769922475,2024-4-18_toxgreen
G83I,2,512,3483,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,17.271930839545764,2024-4-18_toxgreen
NoTM,2,512,0,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,0.0,2024-4-18_toxgreen
2F12,2,512,6538,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,32.42144238557284,2024-4-18_toxgreen
2H11,2,512,27452,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,136.13237020017522,2024-4-18_toxgreen
1G2,2,512,4361,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,21.625865745408863,2024-4-18_toxgreen
RD2,2,512,8301,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,41.16402466237995,2024-4-18_toxgreen
LD23,2,512,10150,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,50.333074367323995,2024-4-18_toxgreen
LC4,2,512,11115,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,55.118435624907015,2024-4-18_toxgreen
LD21,2,512,16812,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,83.3694232771873,2024-4-18_toxgreen
LWT3,2,512,14027,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,69.55882109856687,2024-4-18_toxgreen
RWT3,2,512,16423,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,81.44040200340513,2024-4-18_toxgreen
L8,2,512,14423,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,71.52255483742995,2024-4-18_toxgreen
L4,2,512,13447,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,66.68264542043407,2024-4-18_toxgreen
RC8,2,512,14287,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,70.84814123014364,2024-4-18_toxgreen
RC11,2,512,12602,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,62.49235499280956,2024-4-18_toxgreen
LD9,2,512,12204,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,60.518703406780496,2024-4-18_toxgreen
LC9,2,512,11314,/mnt/d/github/Sequence-Design/CHIP2/2024-3-24_gblockOrder/2024-4-18_toxgreen,56.10526141792155,2024-4-18_toxgreen
