xShift,crossingAngle,axialRotation,zShift,energy
9.5,28.0,-98.3333,3.275,-3.817949
9.5,28.0,-61.6667,3.175,-4.295404
8.9,24.0,-98.3333,5.975,-3.645403
9.1,26.0,-105.0,2.925,-5.464329
8.7,22.0,-15.0,0.225,-9.39443
9.1,24.0,-55.0,6.225,-6.116403
9.3,26.0,-90.0,6.75,-1.061441
9.3,28.0,-101.667,6.475,-3.781454
8.5,22.0,-55.0,6.225,-8.062817
8.9,20.0,-100.0,5.55,-4.239739
9.5,26.0,-63.3333,5.45,7.438143
9.5,28.0,-100.0,6.9,-2.645212
9.1,28.0,-48.3333,5.225,-2.531549
9.5,20.0,-40.0,3.3,0.193928
9.3,22.0,-0.0,0.0,0.282675
9.5,24.0,-93.3333,1.85,2.960064
8.5,24.0,-58.3333,5.375,4.899146
9.1,20.0,-116.667,4.0,5.835512
8.5,28.0,-98.3333,5.975,6.624113
9.1,22.0,-63.3333,2.75,-6.591734
9.5,28.0,-43.3333,2.45,-1.283933
9.3,26.0,-38.3333,5.075,7.846599
9.3,18.0,-103.333,3.35,-2.998519
9.5,20.0,-88.3333,3.125,9.183568
9.3,26.0,-98.3333,3.275,-1.556029
9.5,20.0,-100.0,2.85,-1.728168
9.3,28.0,-61.6667,1.825,-5.300554
9.3,20.0,-105.0,5.625,-3.389849
9.5,22.0,-18.3333,0.725,-4.625748
9.3,24.0,-108.333,6.125,-3.753701
9.3,28.0,-105.0,4.275,-5.324236
9.5,22.0,-90.0,5.4,-0.274078
8.9,26.0,-100.0,5.55,-4.914146
9.3,22.0,-60.0,3.6,-5.718105
9.1,24.0,-46.6667,4.3,2.465857
9.5,24.0,-58.3333,4.025,-4.548935
9.3,22.0,-85.0,6.675,8.504892
8.7,18.0,-110.0,5.7,9.888422
8.9,22.0,-48.3333,5.225,-1.453934
8.7,20.0,-103.333,3.35,6.10494
9.5,18.0,-91.6667,6.325,-0.582235
8.9,20.0,-111.667,5.275,0.719441
9.5,20.0,-63.3333,4.1,-4.41678
9.3,28.0,-45.0,4.725,-1.203266
9.5,26.0,-21.6667,2.575,9.81979
9.5,26.0,-90.0,4.05,-0.151808
8.7,28.0,-110.0,3.0,-2.366169
9.3,18.0,-105.0,5.625,-3.268077
9.3,28.0,-45.0,2.025,1.27772
9.3,22.0,-101.667,2.425,-1.666821
8.7,18.0,-111.667,3.925,9.602876
9.1,24.0,-110.0,4.35,-4.454553
9.1,26.0,-61.6667,1.825,-6.504253
9.1,18.0,-70.0,1.05,-3.403278
9.5,26.0,-38.3333,3.725,2.723204
8.5,24.0,-56.6667,5.8,-1.134204
9.3,28.0,-16.6667,2.5,5.14315
9.5,24.0,-100.0,2.85,-3.262392
8.7,20.0,-100.0,6.9,-5.088907
9.1,28.0,-11.6667,1.075,-6.363276
9.1,26.0,-103.333,6.05,-4.693643
8.7,24.0,-106.667,3.85,-3.896891
9.3,20.0,-61.6667,4.525,-5.2521
9.5,18.0,-41.6667,2.875,-0.478633
8.9,26.0,-53.3333,5.3,-7.196644
8.5,20.0,-6.66667,1.0,1.138686
9.1,18.0,-65.0,2.325,-6.785789
9.3,24.0,-56.6667,4.45,-5.510885
9.3,28.0,-100.0,4.2,-4.99523
8.5,20.0,-61.6667,4.525,4.419147
9.5,26.0,-101.667,2.425,-4.117025
9.1,20.0,-58.3333,4.025,-7.158949
9.5,26.0,-15.0,0.225,-4.751215
9.3,18.0,-16.6667,1.15,-6.341781
9.5,18.0,-50.0,4.8,-4.880275
8.9,20.0,-50.0,6.15,-8.043051
9.3,20.0,-45.0,2.025,2.278525
8.5,22.0,-58.3333,4.025,-10.627012
8.9,26.0,-66.6667,1.9,-4.409065
8.9,22.0,-110.0,4.35,-3.202244
8.7,20.0,-50.0,4.8,0.109752
9.3,28.0,-10.0,0.15,-5.583989
9.5,18.0,-108.333,3.425,-2.431145
8.7,22.0,-55.0,6.225,-8.28386
9.5,26.0,-60.0,2.25,-4.480678
8.9,28.0,-53.3333,3.95,-3.298534
9.1,22.0,-58.3333,1.325,-6.573005
8.7,18.0,-105.0,4.275,-5.222648
9.1,28.0,-53.3333,2.6,-4.059526
9.1,28.0,-56.6667,5.8,-3.720719
9.5,28.0,-10.0,0.15,-4.715395
9.3,20.0,-61.6667,3.175,-5.881091
9.5,18.0,-48.3333,1.175,-2.794895
9.1,24.0,-63.3333,4.1,-0.39455
9.1,22.0,-55.0,3.525,-6.695362
9.5,18.0,-10.0,1.5,-5.809643
9.1,28.0,-106.667,6.55,-4.791879
9.5,28.0,-53.3333,1.25,-4.197401
9.5,28.0,-11.6667,1.075,-4.62141
9.5,28.0,-41.6667,2.875,-0.046189
9.5,28.0,-106.667,2.5,-5.173006
9.3,18.0,-111.667,3.925,-3.4416
8.9,24.0,-10.0,1.5,-8.603438
9.3,18.0,-40.0,6.0,0.417941
9.1,20.0,-103.333,6.05,-4.433729
9.5,22.0,-43.3333,1.1,0.452982
9.5,24.0,-108.333,6.125,-2.84005
8.9,26.0,-13.3333,0.65,-7.33619
9.1,24.0,-56.6667,4.45,-6.63249
8.5,20.0,-55.0,4.875,-11.53717
8.5,26.0,-15.0,0.225,-1.81958
8.9,24.0,-58.3333,5.375,-4.784279
8.9,26.0,-50.0,2.1,9.454768
8.9,28.0,-55.0,6.225,-3.353584
9.5,22.0,-51.6667,4.375,-4.610263
8.9,28.0,-61.6667,3.175,-6.363286
9.1,18.0,-13.3333,0.65,-8.233521
9.5,24.0,-65.0,2.325,-4.494181
9.5,28.0,-65.0,0.975,-4.393974
8.5,18.0,-53.3333,5.3,-11.543627
9.1,28.0,-93.3333,5.9,-1.810061
8.9,18.0,-8.33333,0.575,-9.076126
8.5,20.0,-63.3333,2.75,-8.693871
9.1,24.0,-113.333,4.85,1.204144
8.9,18.0,-100.0,4.2,6.430016
9.1,24.0,-91.6667,6.325,3.304283
8.5,20.0,-60.0,3.6,-11.088959
9.1,26.0,-45.0,4.725,6.71066
